id,Class,Order,Family,Genus,Species,Sub species,Common Name,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
7660,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,Loggerhead sea turtle / Loggerhead turtle,North America,28.92667,-80.82389,FALSE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Number of nests,night beach survey,No,,,,,,,,,,,,,,,,,,,,3050,3900,4000,3300,3200,3900,4100,3250,2700,3950,4400,3900,3250,3200,3250,,,,,,,,,,,
7718,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,Loggerhead sea turtle / Loggerhead turtle,North America,34.75,-76.56667,FALSE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Turtles per pound net-soak day (annual mean),sampling pound-net fisheries,No,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.034,0.038,,,,0.056,0.06,0.062,,,,,,,,,,,
7723,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,,Green turtle,North America,34.75,-76.56667,FALSE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Turtles per pound net-soak day,sampling pound-net fisheries,No,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.013,0.006,,,,0.014,0.0165,0.017,,,,,,,,,,,
7725,Reptilia,Testudines,Cheloniidae,Lepidochelys,kempii,,Kemp's ridley turtle,North America,34.75,-76.56667,FALSE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Turtles per pound net-soak day,sampling pound-net fisheries,No,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,0.001,0.002,,,,0.0055,0.0065,0.002,,,,,,,,,,,
7811,Reptilia,Testudines,Testudinidae,Gopherus,agassizii,,Desert tortoise,North America,35.48296,-114.69384,TRUE,Terrestrial,Deserts and xeric shrublands,Nearctic,Yes,No,No,Individuals,Mark and Recapture,No,,,,,,,,,,,,,,,,,,,,,,,,66,61,54,,,,,,,,,,,,,,,,,,,
7813,Reptilia,Testudines,Testudinidae,Gopherus,agassizii,,Desert tortoise,North America,35.23159,-114.68246,TRUE,Terrestrial,Deserts and xeric shrublands,Nearctic,Yes,No,No,Individuals,Mark and Recapture,No,,,,,,,,,,,,,,,,,,,,,,,,81,56,63,,,,,,,,,,,,,,,,,,,
8575,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,,American alligator,North America,29.61667,-92.16667,FALSE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Nest density/ha,Aerial nest censuses along permanently established transect lines.,No,,,,,,,,,,,,,,,62,60,90,84,88,99,100,80,86,84,,,,,,,,,,,,,,,,,,,,,
8576,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,,American alligator,North America,29.61667,-92.16667,FALSE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Population estimates,Nest surveys,No,172000,134000,182000,153000,213000,272000,282000,274000,285000,520000,400000,289000,368000,379000,410000,468000,397000,523000,483000,518000,558500,,,,,,,,,,,,,,,,,,,,,,,,
8577,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,,American alligator,North America,29.61667,-92.16667,FALSE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Counts,Transects,No,172080,134000,182000,153000,213000,272000,282000,274000,285000,520000,400000,457000,368000,379000,578000,636000,565000,691000,651000,686000,726500,718000,585000,734000,,,,,,,,,,,,,,,,,,,,,
8618,Reptilia,Testudines,Chelydridae,Chelydra,serpentina,,Common snapping turtle,North America,39.16667,-79.26667,FALSE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Population estimate,Single-door live traps,No,,,,,,,,,,,,,,,,,,,9,73,9,45,18,36,45,9,27,127,82,27,155,155,164,200,291,,,,,,,,,,
