id,Class,Order,Family,Genus,Species,Sub species,Common Name,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
925,Amphibia,Caudata,Plethodontidae,Aneides,hardii,,Sacramento mountain salamander,North America,32.96722,-105.44,TRUE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Number of individuals,General count,No,,,,,,,,,,,,,,,,,24,18,27,31,27,,43,,39,35,38,,,,,,,,,,,,,,,,,,
926,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,,American toad,North America,39.00028,-76.74972,FALSE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of larvae,General count with dipnet,No,,,,,,480,345,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,,American toad,North America,41.72556,-87.85278,TRUE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of individuals captured,Count - Drift fence / pitfall traps,No,,,,,,,,,,,,,,,,,,,,,,2,6,9,9,5,,,,,,,,,,,,,,,,,,,
928,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,,Western toad / Boreal toad,North America,44.43113,-121.90963,TRUE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of breeding adults,Count using marks,No,,,,,,,,,,,,,284,554,602,352,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,,Western toad / Boreal toad,North America,44.10139,-121.64278,TRUE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of breeding adults,Count using marks,No,,,,,,,,,,,,,260,438,384,348,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,,Western toad / Boreal toad,North America,44.03,-121.68417,TRUE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of breeding adults,Count using marks,No,,,,,,,,,,,,,322,271,497,131,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,,Yosemite toad,North America,37.91639,-119.25389,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breedig adults,Counts using marks (toe clips),No,,,,,350,,390,220,320,110,,95,110,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,
933,Amphibia,Anura,Bufonidae,Anaxyrus,quercicus,,Oak toad,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,142,146,222,190,11,,,,,,,,,,,,,,,,,,,,,,,,
934,Amphibia,Anura,Bufonidae,Anaxyrus,quercicus,,Oak toad,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Number of adults,Capture release and toe clippings,No,,,,,,,,,,,,,,,,,109,93,147,156,8,,,,,,,,,,,,,,,,,,,,,,,,
935,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,,Southern toad,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,111,218,97,170,67,,,,,,,,,,,,,,,,,,,,,,,,
